2026-04-25 14:45:55.633949 | 127.0.0.1:49672 | GET http://example.com/ | example.com:80 | 2026-04-25 14:45:55.633954 | ERROR: 
2026-04-25 14:46:11.505262 | 127.0.0.1:49676 | GET http://example.com/ | example.com:80 | 2026-04-25 14:46:11.505267 | ERROR: CACHE_HIT
2026-04-25 14:47:22.787138 | 127.0.0.1:49677 | POST http://httpbin.org/post | httpbin.org:80 | 2026-04-25 14:47:22.787144 | ERROR: 
2026-04-25 14:47:56.987875 | 127.0.0.1:49685 | CONNECT example.com:443 | example.com:443 | 2026-04-25 14:47:56.987879 | ERROR: 
2026-04-25 14:48:17.938043 | 127.0.0.1:49687 | GET http://doesnotexist.invalid/ | doesnotexist.invalid:80 | 2026-04-25 14:48:17.938052 | ERROR: [Errno 11001] getaddrinfo failed
2026-04-25 14:48:51.933368 | 127.0.0.1:53202 | GET http://example.com/ | example.com:80 | 2026-04-25 14:48:51.933375 | ERROR: 
2026-04-25 14:48:59.594730 | 127.0.0.1:53204 | GET http://httpbin.org/get | httpbin.org:80 | 2026-04-25 14:48:59.594735 | ERROR: 
2026-04-25 14:49:09.476991 | 127.0.0.1:53206 | POST http://httpbin.org/post | httpbin.org:80 | 2026-04-25 14:49:09.476995 | ERROR: 
2026-04-25 14:54:30.508594 | 127.0.0.1:52646 | GET http://doesnotexist.invalid/ | doesnotexist.invalid:80 | 2026-04-25 14:54:30.508599 | ERROR: [Errno 11001] getaddrinfo failed
2026-04-25 21:55:15.857095 | 127.0.0.1:59363 | GET http://example.com/ | example.com:80 | 2026-04-25 21:55:15.857244 | ERROR: 
2026-04-25 21:57:10.703568 | 127.0.0.1:52789 | GET http://facebook.com/ | facebook.com:80 | 2026-04-25 21:57:10.703572 | ERROR: BLOCKED
2026-04-25 21:59:46.206002 | 127.0.0.1:59660 | GET http://example.com/ | example.com:80 | 2026-04-25 21:59:46.206007 | ERROR: 
2026-04-25 22:02:42.365896 | 127.0.0.1:64042 | GET http://example.com/ | example.com:80 | 2026-04-25 22:02:42.365925 | ERROR: 
2026-04-25 22:10:54.465623 | 127.0.0.1:65418 | GET http://facebook.com/ | facebook.com:80 | 2026-04-25 22:10:54.465628 | ERROR: BLOCKED
2026-04-25 22:15:35.588891 | 127.0.0.1:62697 | GET http://thishostdoesnotexist.invalid/ | thishostdoesnotexist.invalid:80 | 2026-04-25 22:15:35.588897 | ERROR: [Errno 11001] getaddrinfo failed
2026-04-25 22:20:46.555493 | 127.0.0.1:58699 | GET http://example.com/ | example.com:80 | 2026-04-25 22:20:46.555500 | ERROR: timed out
